Product,SKU,Supplier Code,Brand,Supplier,Category,Tag,SKU Name,SKU,Image,Subtitle,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Revenue,Cost of Goods Sold,Gross Profit,Margin (%),Tax
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Toyota C... / Avant, Droit / BK333197",BK333197,,BK333197,45000,0,90000,45000,135000,90000,45000,117500,47500,112500,90000,0,817500,390706.62651,426793.37349,0.52207,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Fortuner, Hilux 05-UP / Avant, G/D / BK341372 (BK341396)",BK341372,,BK341372,192000,192000,288000,0,0,0,0,0,0,0,64000,65000,801000,221520,579480,0.72345,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Toyota C... / Avant, Gauche / BK333198",BK333198,,BK333198,45000,0,90000,45000,135000,67500,45000,92500,47500,135000,90000,0,792500,379904.70812,412595.29188,0.52062,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Rav4 I, II 94-2005 / Arriere, G/D / BK343272",BK343272,,BK343272,0,55000,110000,110000,0,0,0,0,55000,0,164000,110000,604000,122502.92884,481497.07116,0.79718,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / LC Prado _J12# 02-UP / Avant, G/D / BK341340",BK341340,,BK341340,0,64000,96000,0,64000,0,0,35000,0,96000,32000,193000,580000,197326.33334,382673.66666,0.65978,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / LC Prado _J12# 02-UP / Arriere, G/D / BK344410",BK344410,,BK344410,64000,64000,64000,0,64000,0,0,105000,0,128000,0,64000,553000,143236.00002,409763.99998,0.74098,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Yaris/Vitz _P9#, _P13# / Arriere, G/D / BK343442; 343442T",BK343442,,BK343442,55000,55000,0,50000,0,0,50000,30000,153000,0,50000,100000,543000,146958.10538,396041.89462,0.72936,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / L200 KA#,KB#,KL# 05-UP, Hilux 88-05 / Arriere, G/D / MR992632",MR992632,,MR992632,0,0,55000,81000,55000,55000,0,0,0,55000,185000,27500,513500,203810.21984,309689.78016,0.6031,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Carina E _T19# 92-97 / Arriere, Gauche / BK333108 (BK334064)",BK333108,,BK333108,0,0,67500,25000,90000,135000,22500,35000,0,67500,67500,0,510000,285679.23775,224320.76225,0.43984,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Carina E _T19# 92-97 / Arriere, Droit / BK333107 (BK334063)",BK333107,,BK333107,0,0,45000,25000,115000,90000,22500,35000,0,67500,45000,22500,467500,260600.73638,206899.26362,0.44257,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Yaris/Vitz _P9#, _P13# / Avant, Gauche / BK334473",BK334473,,BK334473,65000,97500,0,32500,0,0,32500,52500,33000,0,32500,95000,440500,171774.53199,268725.46801,0.61005,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Yaris/Vitz _P9#, _P13# / Avant, Droit / BK334472",BK334472,,BK334472,65000,97500,0,32500,0,0,32500,70000,33000,0,32500,65000,428000,156243.20861,271756.79139,0.63495,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Rav4 III, IV 05-UP / Avant, Droit / BK339031",BK339031,,BK339031,37500,37500,0,75000,37500,0,0,65000,0,0,0,75000,327500,111890.65155,215609.34845,0.65835,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Rav4 III, IV 05-UP / Arriere, G/D / BK349024; 349024T",BK349024,,BK349024,60000,0,0,0,0,0,60000,0,0,120000,0,60000,300000,79516.3117,220483.6883,0.73495,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Rav4 III, IV 05-UP / Avant, Gauche / BK339032",BK339032,,BK339032,37500,37500,0,75000,37500,0,0,32500,0,0,0,75000,295000,98119.27275,196880.72725,0.66739,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Rav4 II 00-05 / Avant, Gauche / BK334332",BK334332,,BK334332,37000,0,74000,37000,0,37000,0,40000,20000,0,0,37000,282000,110035.28107,171964.71893,0.6098,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Rav4 II 00-05 / Avant, Droit / BK334331",BK334331,,BK334331,0,0,74000,37000,0,0,0,80000,40000,0,0,37000,268000,81207,186793,0.69699,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Terios J2 05-14 / Avant, G/D / BK333496",BK333496,,BK333496,0,75000,0,0,75000,0,0,0,0,0,75000,0,225000,88626,136374,0.60611,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Land Cruiser _J9# / Arriere, G/D / BK344288; 344288T",3445922,,3445922,65000,65000,0,65000,0,0,0,0,0,0,0,0,195000,45436.77332,149563.22668,0.76699,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Nissan Hardbody 99-05 / Avant, G/D / BK344475",BK344475,,BK344475,0,63000,63000,0,0,0,0,0,0,0,63000,0,189000,43656,145344,0.76902,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Tucson 04-10; Sportage 04-UP / Avant, Droit / BK334502",BK334502,,BK334502,42500,0,0,0,0,0,0,0,0,0,99000,42500,184000,58045.5,125954.5,0.68454,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Terios J2 05-14 / Arriere, G/D / BK343472",BK343472,,BK343472,0,180000,0,0,0,0,0,0,0,0,0,0,180000,53788.00002,126211.99998,0.70118,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Tucson 04-10; Sportage 04-UP / Arriere, Droit / BK334504",BK334504,,BK334504,0,0,0,0,0,80000,0,0,0,0,99000,0,179000,59263.2,119736.8,0.66892,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Rav4 I 94-00 / Avant, Droit / BK334241",BK334241,,BK334241,0,0,32000,0,32000,0,0,35000,0,0,32500,32000,163500,61805.9091,101694.0909,0.62198,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Corolla _E12# 01-07 / Arriere, G/D / BK341322, BK341307",BK341322,,BK341322,0,0,50000,0,0,0,0,0,0,55000,50000,0,155000,39498,115502,0.74517,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Tucson 04-10; Sportage 04-UP / Avant, Gauche / BK334503",BK334503,,BK334503,42500,0,0,0,0,0,0,0,0,0,99000,0,141500,43208.33334,98291.66666,0.69464,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Hilux 05-UP / Arriere, G/D / BK349015",BK349015,,BK349015,0,0,0,0,0,0,28000,0,0,0,56000,56000,140000,66390.0633,73609.9367,0.52579,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / 4Runner, Hilux, VW Taro 88-05 / Avant, G/D / BK344202; 344202",BK344202,,BK344202,0,0,0,0,0,55000,0,0,0,110000,-30000,0,135000,39019.5238,95980.4762,0.71097,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Mitsubishi Lancer, Cedia 00-09 / Avant, G/D / BK333381",BK333381,,BK333381,60000,0,0,0,0,0,0,0,0,70000,0,0,130000,33928,96072,0.73902,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Tucson 04-10; Sportage 04-UP / Arriere, Gauche / BK334505",BK334505,,BK334505,0,0,0,0,0,80000,0,0,0,0,49500,0,129500,54835.71428,74664.28572,0.57656,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Corolla _E14#, _E15#… / Arriere, G/D / BK341448",BK341448,,BK341448,0,0,0,0,0,65000,0,60000,0,0,0,0,125000,52420,72580,0.58064,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Rav4 I 94-00 / Avant, Gauche / BK334242",BK334242,,BK334242,0,0,32000,0,0,0,0,24500,0,0,32500,32000,121000,49507.16824,71492.83176,0.59085,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Suziki Escudo, Grand Vitara 05-UP / Avant, Droit / BK334464",BK334464,,BK334464,0,0,0,40000,40000,0,0,0,0,40000,0,0,120000,43416.16,76583.84,0.6382,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Avensis II _T25# 03-08 / Avant, Gauche / BK334816, 334816T",BK334816,,BK334816,0,0,0,38500,0,0,0,0,0,0,0,73500,112000,32071,79929,0.71365,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Sonata 14-19 / Avant, Droit / 54661-C2800",3446061,,3446061,0,0,55000,0,0,0,0,0,0,0,52000,0,107000,23122,83878,0.78391,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Sonata 14-19 / Avant, Gauche / 54651-C2800",3446060,,3446060,0,0,55000,0,0,0,0,0,0,0,52000,0,107000,23122,83878,0.78391,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Corolla NZE 12#, ZZE 12# (Costaud) / Avant, Droit / BK334324",BK334324,,BK334324,32000,0,64000,0,0,0,0,0,0,0,0,0,96000,39124.3264,56875.6736,0.59245,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Carina 2, Corona _T17# 87-92 / Arriere, Droit / BK333063",BK333063,,BK333063,0,0,22500,22500,0,0,45000,0,0,0,0,0,90000,45552,44448,0.49387,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / corolla _E9# 87-93 / Arriere, Gauche / BK333052",BK333052,,BK333052,0,0,0,0,45000,0,0,0,35000,0,0,0,80000,46034.41916,33965.58084,0.42457,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Suziki Escudo, Grand Vitara 05-UP / Avant, Gauche / BK334465",BK334465,,BK334465,0,0,0,40000,0,0,0,0,0,40000,0,0,80000,29441.392,50558.608,0.63198,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Land Cruiser _J9# / Avant, G/D / BK341232",3444551,,3444551,0,0,0,80000,0,0,0,0,0,0,0,0,80000,21830,58170,0.72713,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Avensis II _T25# 03-08 / Avant, Droit / BK334815",BK334815,,BK334815,0,0,0,38500,0,0,0,0,0,0,0,38500,77000,22283,54717,0.71061,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Nissan Terano II, Ford Maverick / Arriere, G/D / 343355, E2861T (Tokico)",4516916213978,,4516916213978,67000,0,0,0,0,0,0,0,0,0,0,0,67000,22110,44890,0.67,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / ix35, Tucson, Sportage 10-UP / Arriere, G/D / 55311-2S400, BK349189",3141334,,3141334,0,0,0,0,0,0,65000,0,0,0,0,0,65000,19824,45176,0.69502,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Corolla NZE 12#, ZZE 12# (Costaud) / Avant, Gauche / BK334323",BK334323,,BK334323,0,0,64000,0,0,0,0,0,0,0,0,0,64000,26027.61395,37972.38605,0.59332,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Mazda BT-50, Ford Ranger 06-11 / Avant, G/D / BK345076",BK345076,,BK345076,0,63000,0,0,0,0,0,0,0,0,0,0,63000,19526.97334,43473.02666,0.69005,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Corolla NZE 12#, ZZE 12# (Mince) / Avant, Droit / BK333338",BK333338,,BK333338,0,0,0,0,0,0,30000,0,0,0,30000,0,60000,24398,35602,0.59337,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Corolla NZE 12#, ZZE 12# (Mince) / Avant, Gauche / BK333339",BK333339,,BK333339,0,0,0,0,0,0,30000,0,0,0,30000,0,60000,24398,35602,0.59337,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Hiace 05-UP / Avant, G/D / BK344493",BK344493,,BK344493,0,60000,0,0,0,0,0,0,0,0,0,0,60000,14280,45720,0.762,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Pajero/Montero V2#-V4#, K9#, Challenger / Avant, G/D / BK344294 (344222)",BK344294,,BK344294,0,0,0,0,0,0,0,0,60000,0,0,0,60000,13860,46140,0.769,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Yaris I, Vitz I 99-05 / Arriere, G/D / BK343295",BK343295,,BK343295,0,0,0,0,0,0,0,0,0,56000,0,0,56000,16590,39410,0.70375,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Hilux _N16# 97-05 / Arriere, G/D / BK343300 (BK343299)",BK343299,,BK343299,0,0,0,0,0,55000,0,0,0,0,0,0,55000,16889.67272,38110.32728,0.69292,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Isuzu D-max (TFR, TFS) 02-12 / Avant, G/D / BK344420",3430347,,3430347,0,0,0,0,0,0,0,0,0,0,55000,0,55000,13566,41434,0.75335,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Land Cruiser _J7# (72) / Arriere, G/D / BK345011",3445532,,3445532,0,0,0,0,0,0,55000,0,0,0,0,0,55000,22134,32866,0.59756,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Carina 2, Corona _T17# 87-92 / Arriere, Gauche / BK333064",BK333064,,BK333064,0,0,22500,0,0,0,0,0,0,25000,0,0,47500,22777.2,24722.8,0.52048,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Avensis II _T25# 03-08 / Arriere, G/D / BK341815",BK341815,,BK341815,0,0,0,0,0,0,0,45000,0,0,0,0,45000,20098,24902,0.55338,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Hyundai Santa Fe II, 06-12 / Avant, Gauche / BK334507",BK334507,,BK334507,0,0,0,0,0,0,0,45000,0,0,0,0,45000,14624.33333,30375.66667,0.67501,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / ix35, Tucson, Sportage 10-UP / Avant, Gauche / 54651-2S000, BK339403; D334978",3141333,,3141333,0,0,0,0,0,0,0,0,0,40000,0,0,40000,16610.14286,23389.85714,0.58475,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / ix35, Tucson, Sportage 10-UP / Avant, Droit / 54661-2S000, BK339402; D334977",3141332,,3141332,0,0,0,0,0,0,0,0,0,40000,0,0,40000,16124.86667,23875.13333,0.59688,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Corolla _E14#, _E15#… / Avant, Gauche / BK339115",BK339115,,BK339115,0,0,0,0,0,0,0,0,0,38500,0,0,38500,10512.58333,27987.41667,0.72695,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Corolla _E14#, _E15#… / Avant, Droit / BK339114",BK339114,,BK339114,0,0,0,0,0,0,0,0,0,38500,0,0,38500,8400,30100,0.78182,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Terios J1 97-05 / Avant, Droit / BK339021",BK339021,,BK339021,0,0,0,0,0,37500,0,0,0,0,0,0,37500,14180,23320,0.62187,0
Amortisseur Supérieur,BK333051a,,Brick,Southland,Suspension et Direction / Amortisseurs,Châssis,"Amortisseur Supérieur / Terios J1 97-05 / Avant, Gauche / BK339022",BK339022,,BK339022,0,0,0,0,0,37500,0,0,0,0,0,0,37500,14180,23320,0.62187,0
